,train_loss,train_accuracy,test_loss,test_accuracy
0,1.4155295797440766,0.5070577415227128,1.0018460052653242,0.6549520766773163
1,1.4029549366758178,0.5098968330134357,1.0249903402008569,0.6435702875399361
2,1.3975588503131025,0.5137356046065259,1.0113968757775644,0.6420726837060703
3,1.3894242016230343,0.5135156749840051,1.0181545494749142,0.6428714057507987
4,1.3891742730171195,0.5136756238003839,1.0429715238059292,0.6375798722044729
5,1.3841554688019242,0.5153750799744082,1.0139939996381155,0.6497603833865815
6,1.3811495610329865,0.5153350927703135,1.0148197045436682,0.6442691693290735
7,1.3753587277516752,0.5176743442098528,1.0073914938270094,0.6413738019169329
8,1.3681373452804673,0.5210932501599488,1.0187723709942815,0.6383785942492013
9,1.377438950408977,0.5164347408829175,0.9972481459093551,0.6465654952076677
